Country,From,To,By,Company,TripMax/Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Additional Information
France,Tolone,Porto Torres,Ship,Corsica Ferries,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
France,Marsiglia,Porto Torres,Ship,Corsica linea/La Méridionale,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
France,Paris Orly,Cagliari,Plane,easyJet,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
France,Nizza,Olbia,Plane,easyJet,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
France,Lione,Olbia,Plane,easyJet,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
France,Tolosa,Olbia,Plane,easyJet,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,
Germany,Berlin Tegel,Cagliari,Plane,easyJet,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,
Germany,Berlin Schoenefeld,Cagliari,Plane,easyJet,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,
Germany,Berlin Tegel,Olbia,Plane,easyJet,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
Germany,Berlin Schoenefeld,Olbia,Plane,easyJet,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,
Germany,Berling Tegel,Alghero,Plane,easyJet,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
Germany,Düsseldorf,Olbia,Plane,Eurowings,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Todo
Germany,Munich,Olbia,Plane,Eurowings,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Todo
Germany,Stuttgart,Olbia,Plane,Eurowings,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Todo
Germany,Cologne-Bonn,Cagliari,Plane,Eurowings,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,
Germany,Berlin Tegel,Cagliari,Plane,Eurowings,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Todo
Germany,Hambourg,Cagliari,Plane,Eurowings,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Todo
Germany,Munich,Cagliari,Plane,Eurowings,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Todo
